438631,Dune,/lzWHmYdfeFiMIY4JaMmtR7GEli3.jpg,/hIEKzq0klqtz1H3S7QxzH4mMbvT.jpg,165000000,en,Dune,428.746,2021-09-15,407573628,155,"Más allá del miedo, el destino espera.",7.782,11850
335983,Venom,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,/jMBTJQiHAyGlZR05J2sq5coA6ew.jpg,116000000,en,Venom,411.2,2018-09-28,856085151,112,El mundo tiene suficientes superhéroes.,6.827,15390
414906,Batman,/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg,/mo7teil1qH0SxgLijnqeYP1Eb4w.jpg,185000000,en,The Batman,408.82,2022-03-01,771000000,176,Desenmascara la verdad...,7.677,9686
940551,Migración. Un viaje patas arriba,/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,/diEeiB2DmZZadHISkg24RO2n0rT.jpg,72000000,en,Migration,438.53,2023-12-06,298614786,83,,7.4,1410
1010581,Culpa mía,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,/gp31EwMH5D2bftOjscwkgTmoLAB.jpg,0,es,Culpa mía,434.0,2023-06-08,0,117,,7.967,2577
346698,Barbie,/8qQmKfcowF34ZLKilPGJGsNd4FW.jpg,/fNtqD4BTFj0Bgo9lyoAtmNFzxHN.jpg,145000000,en,Barbie,362.335,2023-07-19,1445638421,114,Ella es lo más. Él es simplemente Ken.,7.054,8403
150540,Del revés (Inside Out),/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg,/sG3bHZWCMOZwhUq71WbPG9Vrrwc.jpg,175000000,en,Inside Out,445.141,2015-06-09,857611174,95,Conoce a las pequeñas voces que suenan en tu cabeza.,7.914,20424
284053,Thor: Ragnarok,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,/pGtkLdk4rnF2A3Yz2BHiTgRwMU4.jpg,180000000,en,Thor: Ragnarok,389.164,2017-10-02,855301806,131,Sin martillo. No hay problema.,7.593,20276
577922,Tenet,/yY76zq9XSuJ4nWyPDuwkdV7Wt0c.jpg,/buSr2RIxzJ5Zh6dLaLBsqAdvz3I.jpg,205000000,en,Tenet,396.173,2020-08-22,365304105,155,El tiempo se acaba,7.184,9459
298618,Flash,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,/x9Qc86JEyYkAKsdzjDpS5kbaAB7.jpg,220000000,en,The Flash,356.648,2023-06-13,271333313,144,Los mundos colisionan.,6.733,3942
978592,Sombras del pasado,/mYPsDej53aibXId6BSxb3Q5fAHg.jpg,/s4p4lA5P8kV336z1WrjxYS1r2TK.jpg,0,en,Sleeping Dogs,382.785,2024-03-21,0,112,,7.062,154
218,Terminator,/wh4ze6klUbeichAj603OKZwY1W5.jpg,/kbPqRWsGS1siVUeEFVtLKloTG0Y.jpg,6400000,en,The Terminator,398.456,1984-10-26,78371200,108,Tu futuro esta en tus manos.,7.667,12614
508947,Red,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,/tYRd7O5Eht4jypJQrMWnCi26880.jpg,175000000,en,Turning Red,374.74,2022-03-10,21328962,100,Hacerse mayor puede ser bestial.,7.388,4987
405774,A ciegas,/pDKFL1zcHzEpmz4MJA5JJnRbJeD.jpg,/mJXlEnJwIz3vOq51G3SrJlcr1yr.jpg,19800000,en,Bird Box,366.105,2018-12-13,0,124,Piensa solo en sobrevivir,6.843,9640
634492,Madame Web,/pwGmXVKUgKN13psUjlhC9zBcq1o.jpg,/blq050GHBt0Fzx1j9FvohaEuknJ.jpg,80000000,en,Madame Web,363.954,2024-02-14,100298817,116,Su red los conecta a todos.,5.605,1386
1096197,Atrapados en el abismo,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,/fSY6BYUZMObTIzPfRBlhuAb5lsd.jpg,0,en,No Way Up,382.827,2024-01-18,0,90,,6.449,708
11,La guerra de las galaxias,/4qCqAdHcNKeAHcK8tJ8wNJZa9cx.jpg,/ahT4ObS7XKedQkOSpGr1wQ97aKA.jpg,11000000,en,Star Wars,342.855,1977-05-25,775398007,121,"Hace mucho tiempo, en una galaxia muy lejana...",8.204,20083
634492,Madame Web,/pwGmXVKUgKN13psUjlhC9zBcq1o.jpg,/blq050GHBt0Fzx1j9FvohaEuknJ.jpg,80000000,en,Madame Web,363.954,2024-02-14,100298817,116,Su red los conecta a todos.,5.605,1386
1096197,Atrapados en el abismo,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,/fSY6BYUZMObTIzPfRBlhuAb5lsd.jpg,0,en,No Way Up,382.827,2024-01-18,0,90,,6.449,708
43074,Cazafantasmas,/3RWsSQlqzRjsuqSRmoyggy74UA7.jpg,/gG8Tv060zoUwmeGEk8lGBULO9hw.jpg,144000000,en,Ghostbusters,363.645,2016-07-14,229147509,116,Han venido a salvarnos.,5.358,6250
10138,Iron Man 2,/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg,/ayyJVOV5I4MGjti7nIHC3mVCagR.jpg,200000000,en,Iron Man 2,351.379,2010-04-28,623933331,125,"No es la armadura la que hace al héroe, pero si el hombre del interior.",6.8,20501
475557,Joker,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,/v0eQLbzT6sWelfApuYsEkYpzufl.jpg,55000000,en,Joker,340.269,2019-10-01,1078958629,122,Alegra esa cara.,8.161,24694
996154,Rescate en Ámsterdam,/hvqNAz3cq48sh9GKxu4lPiogfBo.jpg,/hhLmRxnTgKrldOp2zyAapsXayiI.jpg,0,en,Black Lotus,384.498,2023-04-12,0,93,,6.5,112
263115,Logan,/9X7YweCJw3q8Mcf6GadxReFEksM.jpg,/d0ktjN9eKww26HhM8or8iUB1I68.jpg,97000000,en,Logan,357.454,2017-02-28,619021436,137,Su momento ha llegado.,7.818,18771
297762,Wonder Woman,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,/tp3FVzADUWl5dlfdc1cEVCLhgMG.jpg,149000000,en,Wonder Woman,351.791,2017-05-30,823970682,141,El futuro de la Justicia comienza con ella.,7.228,19575
